onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	interval01	459	1513	459	1241
10264	2	interval05	663	1853	663	2125
19152	3	beat02	510	1530	510	1530
26816	4	interval03	561	1853	561	1513
34888	5	beat03	561	1683	561	1683
42960	6	beat01	459	1377	459	1377
50216	7	beat02	510	1530	510	1530
57880	8	interval04	612	1377	612	2295
66360	9	interval05	663	1853	663	2125
75248	-	baseline	-	-	-	-
81248	10	interval02	510	1819	510	1241
88912	11	beat05	663	1989	663	1989
97800	-	baseline	-	-	-	-
103800	12	interval04	612	1377	612	2295
112280	13	interval01	459	1513	459	1241
119536	14	beat05	663	1989	663	1989
128424	15	interval03	561	1853	561	1513
136496	-	baseline	-	-	-	-
142496	16	interval04	612	1377	612	2295
150976	17	beat04	612	1836	612	1836
159456	18	interval01	459	1513	459	1241
166712	19	beat03	561	1683	561	1683
174784	-	baseline	-	-	-	-
180784	20	beat04	612	1836	612	1836
189264	21	interval03	561	1853	561	1513
197336	22	interval02	510	1819	510	1241
205000	23	beat01	459	1377	459	1377
212256	24	beat05	663	1989	663	1989
221144	25	interval05	663	1853	663	2125
230032	26	beat04	612	1836	612	1836
238512	-	baseline	-	-	-	-
244512	27	beat02	510	1530	510	1530
252176	28	beat03	561	1683	561	1683
260248	29	interval02	510	1819	510	1241
267912	30	beat01	459	1377	459	1377
