onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
6000	1	interval02	510	1853	510	1207	500
14660	2	beat01	459	1377	459	1377	514
22926	-	baseline	-	-	-	-	-
28926	3	interval02	510	1853	510	1207	612
37698	4	interval02	510	1853	510	1207	408
46266	5	beat03	561	1683	561	1683	572
55406	6	interval03	561	1717	561	1649	673
64647	-	baseline	-	-	-	-	-
70647	7	beat05	663	1989	663	1989	583
80614	8	interval04	612	1513	612	2159	490
90080	9	interval04	612	1513	612	2159	600
99656	10	interval03	561	1717	561	1649	550
108774	11	beat05	663	1989	663	1989	676
118834	12	interval01	459	1445	459	1309	468
127054	-	baseline	-	-	-	-	-
133054	13	beat04	612	1836	612	1836	600
142630	14	beat02	510	1530	510	1530	612
151402	15	interval05	663	1887	663	2091	583
161369	16	beat03	561	1683	561	1683	673
170610	17	beat03	561	1683	561	1683	550
179728	18	beat01	459	1377	459	1377	468
187948	19	interval03	561	1717	561	1649	572
197088	20	interval01	459	1445	459	1309	514
205354	21	interval01	459	1445	459	1309	404
213510	22	beat01	459	1377	459	1377	404
221666	23	beat02	510	1530	510	1530	500
230326	-	baseline	-	-	-	-	-
236326	24	interval05	663	1887	663	2091	676
246386	25	interval05	663	1887	663	2091	796
256566	26	beat04	612	1836	612	1836	490
266032	-	baseline	-	-	-	-	-
272032	27	beat05	663	1989	663	1989	796
282212	28	beat04	612	1836	612	1836	685
291873	29	interval04	612	1513	612	2159	685
301534	30	beat02	510	1530	510	1530	408
