onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
3008	1	beat03	561	1683	561	1683	561	triangle
11641	2	beat05	663	1989	663	1989	663	triangle
21192	-	baseline	-	-	-	-	-	-
27192	3	interval04	612	1683	612	1989	612	triangle
36284	4	interval04	612	1683	612	1989	612	circle
45376	5	beat04	612	1836	612	1836	612	circle
54468	6	beat03	561	1683	561	1683	561	circle
63101	7	beat05	663	1989	663	1989	663	circle
72652	-	baseline	-	-	-	-	-	-
78652	8	interval01	459	1904	459	850	459	triangle
86367	9	beat02	510	1530	510	1530	510	triangle
94541	10	beat01	459	1377	459	1377	459	triangle
102256	-	baseline	-	-	-	-	-	-
108256	11	interval04	612	1683	612	1989	612	circle
117348	12	interval03	561	1938	561	1428	561	triangle
125981	13	beat04	612	1836	612	1836	612	triangle
135073	14	beat01	459	1377	459	1377	459	triangle
142788	15	beat02	510	1530	510	1530	510	circle
150962	16	interval02	510	1377	510	1683	510	circle
159136	-	baseline	-	-	-	-	-	-
165136	17	interval01	459	1904	459	850	459	triangle
172851	18	interval03	561	1938	561	1428	561	circle
181484	19	beat03	561	1683	561	1683	561	circle
190117	20	beat04	612	1836	612	1836	612	circle
199209	21	interval05	663	1513	663	2465	663	circle
208760	22	beat02	510	1530	510	1530	510	circle
216934	23	beat01	459	1377	459	1377	459	triangle
224649	24	interval01	459	1904	459	850	459	triangle
232364	-	baseline	-	-	-	-	-	-
238364	25	interval02	510	1377	510	1683	510	triangle
246538	26	interval05	663	1513	663	2465	663	triangle
256089	27	beat05	663	1989	663	1989	663	triangle
265640	28	interval02	510	1377	510	1683	510	circle
273814	29	interval03	561	1938	561	1428	561	circle
282447	30	interval05	663	1513	663	2465	663	triangle
