onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
3008	1	beat04	612	1836	612	1836	490
11978	2	interval05	663	1887	663	2091	796
21662	-	baseline	-	-	-	-	-
27662	3	beat03	561	1683	561	1683	550
36284	4	interval01	459	1445	459	1309	468
44008	5	beat03	561	1683	561	1683	628
52708	6	interval05	663	1887	663	2091	676
62272	7	beat02	510	1530	510	1530	408
70344	-	baseline	-	-	-	-	-
76344	8	interval02	510	1853	510	1207	612
84620	9	interval02	510	1853	510	1207	408
92692	-	baseline	-	-	-	-	-
98692	10	interval02	510	1853	510	1207	520
106876	11	interval04	612	1513	612	2159	490
115846	12	beat04	612	1836	612	1836	600
124926	13	interval03	561	1717	561	1649	550
133548	14	interval04	612	1513	612	2159	685
142713	15	beat05	663	1989	663	1989	743
152344	16	beat05	663	1989	663	1989	796
162028	17	beat01	459	1377	459	1377	367
169651	18	beat02	510	1530	510	1530	520
177835	19	interval04	612	1513	612	2159	600
186915	20	interval01	459	1445	459	1309	367
194538	21	interval03	561	1717	561	1649	628
203238	22	beat05	663	1989	663	1989	676
212802	23	interval03	561	1717	561	1649	494
221368	-	baseline	-	-	-	-	-
227368	24	beat01	459	1377	459	1377	468
235092	25	beat04	612	1836	612	1836	685
244257	26	interval01	459	1445	459	1309	404
251917	-	baseline	-	-	-	-	-
257917	27	beat03	561	1683	561	1683	494
266483	28	beat01	459	1377	459	1377	404
274143	29	beat02	510	1530	510	1530	612
282419	30	interval05	663	1887	663	2091	743
