onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
3008	1	beat04	612	1836	612	1836	612	triangle
12100	2	interval05	663	1513	663	2465	663	circle
21651	3	beat04	612	1836	612	1836	612	circle
30743	4	beat05	663	1989	663	1989	663	circle
40294	5	interval02	510	1377	510	1683	510	triangle
48468	6	interval01	459	1904	459	850	459	triangle
56183	7	beat01	459	1377	459	1377	459	triangle
63898	8	beat05	663	1989	663	1989	663	circle
73449	9	beat02	510	1530	510	1530	510	triangle
81623	-	baseline	-	-	-	-	-	-
87623	10	beat05	663	1989	663	1989	663	triangle
97174	11	interval02	510	1377	510	1683	510	circle
105348	12	beat04	612	1836	612	1836	612	circle
114440	13	interval01	459	1904	459	850	459	circle
122155	14	interval04	612	1683	612	1989	612	circle
131247	-	baseline	-	-	-	-	-	-
137247	15	beat03	561	1683	561	1683	561	circle
145880	16	interval02	510	1377	510	1683	510	triangle
154054	17	interval05	663	1513	663	2465	663	circle
163605	18	interval04	612	1683	612	1989	612	circle
172697	19	beat01	459	1377	459	1377	459	circle
180412	20	interval03	561	1938	561	1428	561	circle
189045	21	beat02	510	1530	510	1530	510	triangle
197219	-	baseline	-	-	-	-	-	-
203219	22	beat03	561	1683	561	1683	561	circle
211852	23	interval03	561	1938	561	1428	561	triangle
220485	-	baseline	-	-	-	-	-	-
226485	24	interval01	459	1904	459	850	459	triangle
234200	25	interval05	663	1513	663	2465	663	triangle
243751	-	baseline	-	-	-	-	-	-
249751	26	beat03	561	1683	561	1683	561	triangle
258384	27	interval04	612	1683	612	1989	612	triangle
267476	28	interval03	561	1938	561	1428	561	circle
276109	29	beat01	459	1377	459	1377	459	triangle
283824	30	beat02	510	1530	510	1530	510	circle
